"","trophiclevel","metaboliclosses","assimilation","ingestion","outflow","production","excretion","PB","QB","efficiencies","lwC","lwG","lwV"
"waterdetritus",1,0,0.158,0,5.2676256631771,5.2676256631771,-5.2676256631771,5.2676256631771,0,Inf,0.187046692496253,2.28539917556972,2.20372144434034
"sedimentdetritus",1,0,0.158,0,0.708155421374485,0.708155421374485,-0.708155421374485,0.708155421374485,0,Inf,0.187046692496253,2.28539917556972,2.20372144434034
"Phragmites.australis",1,0,0.545,0,1.7646966802124,1.7646966802124,-1.7646966802124,0.00105059729441808,0,Inf,0.187046692496253,2.28539917556972,2.20372144434034
"Microphytobenthos",1,0,0.545,0,0.461015223872321,0.461015223872321,-0.461015223872321,0.905727355348372,0,Inf,0.187046692496253,2.28539917556972,2.20372144434034
"Phytoplankton",1,0,0.545,0,1.69358300293567,1.69358300293567,-1.69358300293567,2.63797975535151,0,Inf,0.187046692496253,2.28539917556972,2.20372144434034
"Zooplankton",2,1.15307875611193,0.906,3.95856650340791,0.0910435926634503,1.24412234877538,2.71444415463253,2.7524830725119,8.7578904942653,0.31428608,0.187046692496253,2.28539917556972,2.20372144434034
"Insects",2,0.426591256356714,0.906,1.50268461662076,0.365283775567469,0.791875031924183,0.710809584696574,4.16776332591675,7.90886640326714,0.52697354,0.187046692496253,2.28539917556972,2.20372144434034
"other.crustaceans",2,0.489100249324114,0.906,3.10333943580875,0.00122738153366817,0.490327630857782,2.61301180495096,2.15055978446396,13.6111378763541,0.158,0.187046692496253,2.28539917556972,2.20372144434034
"Gastropods",2.125,0.263741751661199,0.906,0.721262927493775,0.168128014769253,0.431869766430452,0.289393161063323,3.32207512638809,5.54817636533673,0.59876884,0.187046692496253,2.28539917556972,2.20372144434034
"crabs",2.1875,0.533020853900388,0.906,0.934089376604384,0.00114924246145843,0.534170096361847,0.399919280242537,0.752352248396967,1.31561884028787,0.571861868618686,0.187046692496253,2.28539917556972,2.20372144434034
"shrimp",2.16666666666667,0.149924418548174,0.906,0.296643255855728,0.00120277230059664,0.151127190848771,0.145516065006957,1.67919100943078,3.29603617617475,0.5094577,0.187046692496253,2.28539917556972,2.20372144434034
"Planiliza.haematocheila",2.42559523809524,0.00129788201875134,0.906,0.00240636115162082,0.000667524214177589,0.00196540623292893,0.000440954918691888,0.655135410976311,0.802120383873607,0.816754472455275,0.187046692496253,2.28539917556972,2.20372144434034
"Eucyclogobius.newberryi",3.15079365079365,0.00433595123404783,0.906,0.00478581813912564,0,0.00433595123404783,0.000449866905077809,0.481772359338647,0.531757571013959,0.906,0.187046692496253,2.28539917556972,2.20372144434034
