"","S","C","G","V","ShortPath","tlnodes","TL","Omni"
"waterdetritus",13,0.211538461538462,4.125,2.75,0.301280897435897,1,1.77350427350427,0.29052848170625
"sedimentdetritus",13,0.211538461538462,4.125,2.75,0.301280897435897,1,1.77350427350427,0.29052848170625
"Phragmites.australis",13,0.211538461538462,4.125,2.75,0.301280897435897,1,1.77350427350427,0.29052848170625
"Microphytobenthos",13,0.211538461538462,4.125,2.75,0.301280897435897,1,1.77350427350427,0.29052848170625
"Phytoplankton",13,0.211538461538462,4.125,2.75,0.301280897435897,1,1.77350427350427,0.29052848170625
"Zooplankton",13,0.211538461538462,4.125,2.75,0.301280897435897,2,1.77350427350427,0.29052848170625
"Insects",13,0.211538461538462,4.125,2.75,0.301280897435897,2,1.77350427350427,0.29052848170625
"other.crustaceans",13,0.211538461538462,4.125,2.75,0.301280897435897,2,1.77350427350427,0.29052848170625
"Gastropods",13,0.211538461538462,4.125,2.75,0.301280897435897,2.125,1.77350427350427,0.29052848170625
"crabs",13,0.211538461538462,4.125,2.75,0.301280897435897,2.1875,1.77350427350427,0.29052848170625
"shrimp",13,0.211538461538462,4.125,2.75,0.301280897435897,2.16666666666667,1.77350427350427,0.29052848170625
"Planiliza.haematocheila",13,0.211538461538462,4.125,2.75,0.301280897435897,2.42559523809524,1.77350427350427,0.29052848170625
"Eucyclogobius.newberryi",13,0.211538461538462,4.125,2.75,0.301280897435897,3.15079365079365,1.77350427350427,0.29052848170625
