Month,Site,plant,Mic,Phy,Zoo,Biv,Gas,OtC,Cra,Pol,Shr,Ph,Sh,Lj,Ca
June,SS,117.3 ,0.978 ,1.674,2.07,33.22105263,0.084210526,0,0,0,0,0,0,0.018953704,
June,SS,101.9 ,1.140 ,2.655,4.95,64.24210526,0,0,6.173684211,0.089473684,0,0,0.003222222,0.050148148,
June,SS,99.0 ,2.640 ,3.025928951,24.27,0,0.068421053,0,0,0.068421053,0,0,0.010444444,0.074740741,
June,SS,103.4 ,0.902 ,2.73375,16.02,0,0,0,2.057894737,0.136842105,0,0,0.009444444,0.122824074,
June,SS,108.2 ,0.982 ,1.46475,19.95,4.863157895,0,0,35.35789474,0,0,0,0.01075,0.039240741,
June,SS,138.2 ,0.809 ,1.174232385,0.27,27.25263158,0,0,0,0,0,0,0.016648148,0.107,
July,SS,182.5 ,0.287 ,0.00880841,7.785,11.64736842,0,0,3.731578947,0.257894737,1.8,0,0.490342593,0.40275,
July,SS,180.5 ,0.323 ,0.035730912,9.12,7.047368421,0,0.015789474,23.60526316,0.121052632,0,0,0.023148148,0.0835,
July,SS,171.3 ,0.271 ,0.06408,9.12,1.610526316,0,0,2.447368421,0.405263158,0,0,0.317212963,0.174703704,
July,SS,165.5 ,0.404 ,0.080405658,26.67,0,0,0,4.026315789,0.247368421,0,0,0.014416667,0.171064815,
July,SS,317.3 ,0.210 ,0.20917293,32.535,0.194736842,0,0,0,0.084210526,0,0,0.134268519,0.273574074,
July,SS,218.5 ,0.208 ,0.014758952,13.725,0,0,0,93.24210526,0.163157895,0.063157895,0,0.031175926,0.072305556,
August,SS,240.9 ,0.270 ,0.013563495,0.075,11.6,0,0.089473684,0.9,0.347368421,0,0.781018519,0.591481481,0,
August,SS,242.2 ,0.417 ,0.036716245,,19.32105263,0,0.005263158,0,0.347368421,0,0,0.012990741,0,
August,SS,417.3 ,0.197 ,0.196263495,0.09,21.59473684,0.026315789,0.005263158,1.952631579,0.010526316,0,0.084537037,0.099324074,0.161009259,
August,SS,298.7 ,0.323 ,0.063980373,,0.173684211,0,0.063157895,23.53157895,0.121052632,0.273684211,0.007046296,0,0.14975,
August,SS,332.0 ,0.263 ,0.096014154,0.06,0.084210526,0,0.021052632,14.23157895,0.036842105,0.136842105,0,0.325416667,0.760296296,
August,SS,611.1 ,0.041 ,0.05425398,0.12,12.97368421,0,0,9.642105263,0.089473684,0,,,,
September,SS,294.3 ,,14.76831283,3.3,0.063157895,0,0.005263158,34.58947368,0,0,,,,
September,SS,327.1 ,,9.5030748,2.46,0.142105263,0.031578947,0,53.06842105,0.1,11.29473684,,,,
September,SS,460.2 ,,8.7100266,1.29,22.28421053,5.815789474,0,3.226315789,0.378947368,0,,,,
September,SS,443.9 ,,0.2325,4.05,11.1,2.768421053,0.005263158,47.51052632,0.068421053,0.189473684,,,,
September,SS,487.3 ,,0.295571298,4.26,0,0.036842105,0,11.38421053,3.257894737,5.510526316,,,,
September,SS,345.4 ,,8.2308534,4.86,0.057894737,0.026315789,0.005263158,21.15263158,0.121052632,0.136842105,,,,
