"","trophiclevel","metaboliclosses","assimilation","ingestion","outflow","production","excretion","PB","QB","efficiencies","lwC","lwG","lwV"
"SedDet",1,0,0.158,0,21.6249441878924,21.6249441878924,-21.6249441878924,21.6249441878924,0,Inf,0.118158374552057,1.8544992519637,1.69025198459801
"WatDeT",1,0,0.158,0,262.003242523483,262.003242523483,-262.003242523483,262.003242523483,0,Inf,0.118158374552057,1.8544992519637,1.69025198459801
"SA",1,0,0.545,0,4.82149377011255,4.82149377011255,-4.82149377011255,0.00206797931379479,0,Inf,0.118158374552057,1.8544992519637,1.69025198459801
"DQWZ",1,0,0.545,0,8.82208097638097,8.82208097638097,-8.82208097638097,9.791432826172,0,Inf,0.118158374552057,1.8544992519637,1.69025198459801
"Phy",1,0,0.545,0,31.2016648039168,31.2016648039168,-31.2016648039168,38.9048189575023,0,Inf,0.118158374552057,1.8544992519637,1.69025198459801
"Zooplankton",2,0.142505829219962,0.906,3.04824516730548,1.29266847273158,1.43517430195154,1.61307086535394,18.1667633158423,38.5853818646264,0.47081984,0.118158374552057,1.8544992519637,1.69025198459801
"Bivalves",2,47.5579621447169,0.906,253.427717998376,3.1102089848896,50.6681711296065,202.75954686877,1.02209208903247,5.1122126560502,0.19993145,0.118158374552057,1.8544992519637,1.69025198459801
"Gastropods",2,1.95630947433198,0.906,8.14122842872411,0.98671374739604,2.94302322172802,5.19820520699609,1.60120958744724,4.42939522781508,0.36149621,0.118158374552057,1.8544992519637,1.69025198459801
"Other.craustaceans",2,3.42269988250182,0.906,45.5861047429839,3.77990466688964,7.20260454939146,38.3835001935925,1.58229449679074,10.014522131587,0.158,0.118158374552057,1.8544992519637,1.69025198459801
"Crabs",2.21428571428571,9.45592265306711,0.906,17.1601087162063,0.0260399061880493,9.48196255925516,7.6781461569511,0.701328591660885,1.26923881037029,0.55255842,0.118158374552057,1.8544992519637,1.69025198459801
"Polychaetes",2.2,5.49771419083659,0.906,9.62718518731167,0.0023720578995175,5.5000862487361,4.12709893857556,1.67941564846904,2.93959853047684,0.571307826921731,0.118158374552057,1.8544992519637,1.69025198459801
"Shrimps",2.16666666666667,0.242987924818018,0.906,0.567343626858577,0.0333815463821746,0.276369471200193,0.290974155658384,1.07536759221865,2.20756275042248,0.48712889,0.118158374552057,1.8544992519637,1.69025198459801
"Planiliza.haematocheila",2.36428571428571,0.00277558345471726,0.906,0.0198428078076815,0.0106175899341197,0.0133931733888369,0.00644963441884453,1.33931733888369,1.98428078076815,0.67496362,0.118158374552057,1.8544992519637,1.69025198459801
"Carassius.auratus",2.125,0.0305363540568577,0.906,0.062882498416124,0.00810106451382317,0.0386374185706808,0.0242450798454431,0.367975414958865,0.598880937296419,0.61443835,0.118158374552057,1.8544992519637,1.69025198459801
"Eucyclogobiusn.ewberryi",3.15289115646258,0.00415987170061318,0.906,0.0134339798528991,0.00801131404611344,0.0121711857467266,0.00126279410617252,1.01426547889389,1.11949832107493,0.906,0.118158374552057,1.8544992519637,1.69025198459801
"Lateolabrax.japonicus",3.30462585034014,0.0700813276845036,0.906,0.0773524588129179,0,0.0700813276845036,0.00727113112841427,0.346937265764869,0.382932964420385,0.906,0.118158374552057,1.8544992519637,1.69025198459801
