"","S","C","G","V","ShortPath","tlnodes","TL","Omni"
"SedDet",16,0.2,4.36363636363636,3.2,0.26513375,1,1.90798469387755,0.298416025816444
"WatDet",16,0.2,4.36363636363636,3.2,0.26513375,1,1.90798469387755,0.298416025816444
"SG",16,0.2,4.36363636363636,3.2,0.26513375,1,1.90798469387755,0.298416025816444
"Microphy",16,0.2,4.36363636363636,3.2,0.26513375,1,1.90798469387755,0.298416025816444
"Phy",16,0.2,4.36363636363636,3.2,0.26513375,1,1.90798469387755,0.298416025816444
"Zooplankton",16,0.2,4.36363636363636,3.2,0.26513375,2,1.90798469387755,0.298416025816444
"Bivalves",16,0.2,4.36363636363636,3.2,0.26513375,2,1.90798469387755,0.298416025816444
"Gastropods",16,0.2,4.36363636363636,3.2,0.26513375,2,1.90798469387755,0.298416025816444
"Other.craustaceans",16,0.2,4.36363636363636,3.2,0.26513375,2,1.90798469387755,0.298416025816444
"Crabs",16,0.2,4.36363636363636,3.2,0.26513375,2.21428571428571,1.90798469387755,0.298416025816444
"Polychaetes",16,0.2,4.36363636363636,3.2,0.26513375,2.2,1.90798469387755,0.298416025816444
"Shrimps",16,0.2,4.36363636363636,3.2,0.26513375,2.16666666666667,1.90798469387755,0.298416025816444
"Planiliza.haematocheila",16,0.2,4.36363636363636,3.2,0.26513375,2.36428571428571,1.90798469387755,0.298416025816444
"Carassius.auratus",16,0.2,4.36363636363636,3.2,0.26513375,2.125,1.90798469387755,0.298416025816444
"Eucyclogobiusn.ewberryi",16,0.2,4.36363636363636,3.2,0.26513375,3.15289115646258,1.90798469387755,0.298416025816444
"Lateolabrax.japonicus",16,0.2,4.36363636363636,3.2,0.26513375,3.30462585034014,1.90798469387755,0.298416025816444
